958,73,2463,0,18.3098,26366
1107,857,2063,1,15.5219,22351
1107,818,2023,2,15.2437,21950
861,830,1933,3,14.6177,21049
1170,629,2053,4,15.4524,22251
1123,586,1783,5,13.5743,19546
1150,536,1683,6,12.8787,18545
928,547,1713,7,13.0873,18845
1039,442,1643,8,12.6004,18144
859,595,1893,9,14.3394,20648
732,581,1923,10,14.5481,20949
700,578,1733,11,13.2265,19046
718,599,1483,12,11.4875,16541
712,514,2013,13,15.1741,21850
828,463,1513,14,11.6961,16842
750,431,1453,15,11.2788,16241
574,325,1763,16,13.4351,19346
601,283,1633,17,12.5309,18044
529,253,1713,18,13.0873,18845
760,842,1903,19,14.409,20748
706,815,1893,20,14.3394,20648
451,683,1703,21,13.0178,18745
672,763,1513,22,11.6961,16842
1390,536,2003,23,15.1046,21750
