696,628,2143,0,16.0782,23152
571,358,2153,1,16.1477,23252
477,652,2333,2,17.4026,25059
541,641,1423,3,11.0699,15940
517,421,2083,4,15.6608,22551
570,796,1993,5,15.0348,21650
762,809,1923,6,14.5479,20948
663,883,1973,7,14.8957,21449
711,409,1873,8,14.2001,20448
753,544,1773,9,13.5045,19446
807,170,1843,10,13.9914,20147
1222,785,2293,11,17.1244,24659
1056,521,1903,12,14.4087,20748
880,760,1773,13,13.5045,19446
1015,344,1823,14,13.8523,19947
1224,616,1853,15,14.0609,20247
867,645,1903,16,14.4087,20748
