1161,887,2057,0,15.4799,22291
1138,708,1897,1,14.367,20688
508,837,1987,2,14.993,21589
1000,870,1977,3,14.9234,21489
630,725,1877,4,14.2278,20488
673,476,2097,5,15.7582,22691
852,669,1857,6,14.0887,20287
774,752,1807,7,13.7409,19786
873,803,1797,8,13.6714,19686
813,785,1667,9,12.7671,18384
973,561,1717,10,13.1149,18885
1101,548,1617,11,12.4193,17883
1077,483,1587,12,12.2106,17583
994,314,1857,13,14.0887,20287
847,225,2017,14,15.2017,21890
846,450,1707,15,13.0453,18785
817,360,1507,16,11.6541,16781
781,371,1487,17,11.515,16581
963,354,1467,18,11.3759,16381
591,468,1487,19,11.515,16581
1335,340,1575,20,12.1271,17463
1377,403,1475,21,11.4315,16461
478,655,1057,22,8.52391,12274
