996,814,2213,0,16.5665,23855
925,835,1153,1,9.19164,13235
622,541,1743,2,13.2957,19145
888,457,1883,3,14.2695,20548
942,412,1533,5,11.8349,17042
1078,324,1953,6,14.7565,21249
1048,417,1723,7,13.1566,18945
1245,502,1883,8,14.2695,20548
1239,585,1773,9,13.5044,19446
1242,592,1723,10,13.1566,18945
1189,519,1613,11,12.3914,17843
1257,576,1573,12,12.1132,17442
1201,640,1603,13,12.3219,17743
855,218,1893,14,14.3391,20648
717,892,1723,15,13.1566,18945
981,305,1883,15,14.2695,20548
774,800,1423,16,11.0698,15940
766,760,1213,17,9.609,13836
1051,572,1233,18,9.74813,14037
