1186,790,2127,0,15.9669,22992
573,502,1927,1,14.5757,20989
990,620,1937,2,14.6453,21089
841,740,1847,3,14.0193,20187
840,745,1577,4,12.1411,17483
826,490,1817,5,13.8106,19887
1053,664,1527,6,11.7933,16982
1288,644,1527,7,11.7933,16982
1194,554,1627,8,12.4889,17984
1300,322,1977,9,14.9235,21489
718,758,1747,10,13.3237,19186
663,676,1797,11,13.6715,19686
573,692,1397,12,10.8891,15680
460,772,1827,13,13.8801,19987
673,965,1647,14,12.6281,18184
567,915,1478,15,11.4525,16491
1039,352,1507,16,11.6542,16782
885,960,1437,17,11.1673,16080
498,254,1947,18,14.7149,21189
537,200,1817,19,13.8106,19887
556,467,1967,20,14.854,21389
