918,708,2127,0,15.9671,22992
1017,887,1977,1,14.9237,21490
903,905,1977,2,14.9237,21490
999,882,1917,3,14.5063,20889
999,960,1517,4,11.7239,16882
580,549,2007,5,15.1324,21790
568,530,1927,6,14.5759,20989
820,725,1817,7,13.8107,19887
948,707,1787,8,13.602,19586
1207,530,1907,9,14.4368,20788
1083,605,1567,10,12.0717,17383
762,519,1657,11,12.6978,18284
1024,299,1757,12,13.3934,19286
1248,301,1977,13,14.9237,21490
859,272,1667,14,12.7673,18384
999,445,1537,15,11.863,17082
891,80,1547,16,11.9326,17182
978,776,1597,17,12.2804,17683
