1077,652,1933,0,14.6177,21049
1180,439,1903,1,14.409,20749
1027,335,1963,2,14.8264,21350
1102,355,1913,3,14.4786,20849
1209,374,1743,4,13.2961,19146
1009,359,1333,5,10.4441,15039
1155,563,1493,6,11.5571,16642
1005,851,1953,7,14.7568,21249
961,655,1483,8,11.4875,16542
619,787,1983,9,14.9655,21550
814,763,1703,10,13.0178,18745
739,611,1863,11,14.1308,20348
841,443,1853,12,14.0612,20248
676,509,1773,13,13.5047,19446
490,442,1203,14,9.53981,13737
990,1001,1822,15,13.8456,19937
1024,1002,1722,16,13.15,18935
1083,974,1662,17,12.7326,18334
